paid,conflict_id,dyad_name,conflict_name,peace_date
1663,309,Government of Sudan - SPLM/A-North,Sudan: Government,2021-03-28
1144,395,Government of Tajikistan - UTO,Tajikistan: Government,1995-08-17
1147,395,Government of Tajikistan - UTO,Tajikistan: Government,1996-12-23
1539,395,Government of Tajikistan - UTO,Tajikistan: Government,1996-12-23
1313,395,Government of Tajikistan - UTO,Tajikistan: Government,1997-01-19
1312,395,Government of Tajikistan - UTO,Tajikistan: Government,1997-02-21
1318,395,Government of Tajikistan - UTO,Tajikistan: Government,1997-03-08
1315,395,Government of Tajikistan - UTO,Tajikistan: Government,1997-05-18
1317,395,Government of Tajikistan - UTO,Tajikistan: Government,1997-05-28
1119,395,Government of Tajikistan - UTO,Tajikistan: Government,1997-06-27
1387,314,Government of Uganda - NRA,Uganda: Government,1985-12-17
1388,314,Government of Uganda - UPDA,Uganda: Government,1988-06-03
1145,314,Government of Uganda - UNRF II,Uganda: Government,2002-12-24
1367,314,Government of Uganda - LRA,Uganda: Government,2007-05-02
1368,314,Government of Uganda - LRA,Uganda: Government,2007-06-29
1377,314,Government of Uganda - LRA,Uganda: Government,2008-02-19
1378,314,Government of Uganda - LRA,Uganda: Government,2008-02-22
1379,314,Government of Uganda - LRA,Uganda: Government,2008-02-23
1380,314,Government of Uganda - LRA,Uganda: Government,2008-02-28
1381,314,Government of Uganda - LRA,Uganda: Government,2008-02-29
1536,13246,Government of Ukraine - DPR,Ukraine: Donetsk,2014-09-05
1537,13306,Government of Ukraine - United Armed Forces of Novorossiya,Ukraine: Novorossiya,2015-02-12
1063,315,Government of United Kingdom - PIRA,United Kingdom: Northern Ireland,1998-04-10
1535,230,Government of Yemen (North Yemen) - Ansarallah,Yemen (North Yemen): Government,2014-09-21
1402,318,Government of Zimbabwe (Rhodesia) - ZAPU,Zimbabwe (Rhodesia): Government,1975-12-01
1399,318,Government of Zimbabwe (Rhodesia) - PF,Zimbabwe (Rhodesia): Government,1979-12-21
