dyad_id,start_date,end_date,outcome
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,1992-11-22,5.0
428,1966-12-31,,
428,1966-12-31,1995-07-13,5.0
428,1966-12-31,,
428,1966-12-31,1998-07-14,5.0
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,,
428,1966-12-31,2011-12-31,2.0
429,2000-01-27,2000-12-31,3.0
430,2010-08-05,,
430,2010-08-05,2011-11-03,2.0
430,2010-08-05,2013-04-29,5.0
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,,
431,1948-05-31,1988-12-31,6.0
432,1948-02-29,,
432,1948-02-29,,
432,1948-02-29,1950-12-31,5.0
432,1948-02-29,1970-11-30,3.0
433,1948-08-31,,
433,1948-08-31,,
433,1948-08-31,,
433,1948-08-31,,
433,1948-08-31,,
433,1948-08-31,1953-12-31,5.0
434,1990-12-31,,
434,1990-12-31,,
434,1990-12-31,1992-12-31,5.0
434,1990-12-31,1994-12-31,5.0
14273,1994-05-02,,
14273,1994-05-02,,
14273,1994-05-02,2015-11-13,5.0
14273,1994-05-02,,
14273,1994-05-02,,
14273,1994-05-02,2019-12-20,5.0
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,,
435,1948-01-31,1957-12-31,2.0
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,,
436,1948-07-31,1961-11-15,3.0
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,,
437,1964-12-31,1972-12-31,5.0
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,,
438,1964-12-31,1973-12-31,5.0
439,1973-12-31,,
439,1973-12-31,,
439,1973-12-31,,
439,1973-12-31,,
439,1973-12-31,,
439,1973-12-31,1978-12-31,5.0
440,1977-06-01,1977-05-30,3.0
442,1991-12-26,1991-12-29,5.0
442,1991-12-26,1994-06-23,5.0
11387,2015-03-29,,
11387,2015-03-29,,
11387,2015-03-29,,
15069,2016-10-09,,
15069,2016-10-09,2017-12-31,5.0
443,1948-12-31,,
443,1948-12-31,,
443,1948-12-31,1951-12-31,6.0
444,1952-12-31,,
444,1952-12-31,,
444,1952-12-31,,
444,1952-12-31,,
444,1952-12-31,,
444,1952-12-31,,
444,1952-12-31,1958-07-12,1.0
445,1959-12-31,,
445,1959-12-31,,
445,1959-12-31,,
445,1959-12-31,,
445,1959-12-31,1963-12-31,5.0
445,1959-12-31,1990-03-22,5.0
446,1996-12-23,1996-12-23,3.0
447,1948-03-03,1948-04-20,4.0
448,1948-09-13,1948-09-18,4.0
449,1948-05-01,,
449,1948-05-01,,
449,1948-05-01,,
449,1948-05-01,1951-12-31,5.0
450,1969-05-27,,
450,1969-05-27,,
450,1969-05-27,1971-12-31,3.0
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,1994-12-02,5.0
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,,
451,1987-07-29,2004-10-14,6.0
452,1992-02-12,,
452,1992-02-12,,
452,1992-02-12,,
452,1992-02-12,,
452,1992-02-12,,
452,1992-02-12,2004-10-14,6.0
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
453,2004-11-20,,
11932,1998-10-24,2000-12-31,5.0
454,1948-04-15,,
454,1948-04-15,1949-01-07,2.0
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,,
455,1948-06-19,1957-08-31,6.0
456,1948-03-15,1948-03-15,4.0
457,1962-10-31,,
457,1962-10-31,,
457,1962-10-31,,
457,1962-10-31,,
457,1962-10-31,,
