paid,conflict_id,dyad_name,conflict_name,peace_date,dyadep_id,dyadepisode,type_of_conflict2,dyadcount,dyadterm,end_date,ependprec,outcome,cfiredate,peagdate,recur,version,dyad_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region,duration_after_peace,possible_resume
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,72605.0,5,3,2,1.0,2013-12-31,5.0,5.0,,,1,3,726,2013,Afghanistan,Government of Afghanistan,130,"Government of Albania, Government of Armenia, Government of Australia, Government of Austria, Government of Azerbaijan, Government of Belgium, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Canada, Government of Croatia, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Georgia, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Ireland, Government of Italy, Government of Latvia, Government of Lithuania, Government of Luxembourg, Government of Malaysia, Government of Mongolia, Government of Montenegro, Government of Netherlands, Government of New Zealand, Government of North Macedonia, Government of Norway, Government of Poland, Government of Portugal, Government of Romania, Government of Singapore, Government of Slovakia, Government of Slovenia, Government of South Korea, Government of Spain, Government of Sweden, Government of Tonga, Government of Turkey, Government of Ukraine, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2013-08-26,1,700,3,7530,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,73201.0,1,3,4,1.0,1995-12-31,5.0,2.0,1996-01-11 00:00:00,,0,3,732,1995,Afghanistan,Government of Afghanistan,130,,Hizb-i Wahdat,300,,2,,1,3,1989-07-12,7,1989-12-31,5,700,3,955,False
1132,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1993-05-20,73401.0,1,3,4,1.0,1995-12-31,5.0,2.0,1996-08-13 00:00:00,,0,3,734,1995,Afghanistan,Government of Afghanistan,130,,Junbish-i Milli-yi Islami,302,,2,,1,3,1993-03-08,1,1993-09-26,1,700,3,955,False
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24,72402.0,2,3,3,1.0,1996-12-31,5.0,6.0,,,1,3,724,1996,Afghanistan,Government of Afghanistan,130,,Jam'iyyat-i Islami-yi Afghanistan,292,,2,,1,3,1975-07-02,6,1996-10-05,1,700,3,221,True
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24,72602.0,2,3,2,1.0,2003-12-31,5.0,5.0,,,0,3,726,2003,Afghanistan,Government of Afghanistan,130,"Government of Norway, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2002-09-05,1,700,3,2777,False
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24,72603.0,3,3,2,1.0,2006-12-31,5.0,5.0,,,1,3,726,2006,Afghanistan,Government of Afghanistan,130,,Hizb-i Islami-yi Afghanistan,299,,2,,1,3,1980-03-31,3,2006-08-24,1,700,3,3873,False
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24,72604.0,4,3,2,1.0,2011-12-31,5.0,5.0,,,0,3,726,2011,Afghanistan,Government of Afghanistan,130,"Government of Albania, Government of Armenia, Government of Australia, Government of Austria, Government of Azerbaijan, Government of Belgium, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Canada, Government of Croatia, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Georgia, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Ireland, Government of Italy, Government of Latvia, Government of Lithuania, Government of Luxembourg, Government of Malaysia, Government of Mongolia, Government of Montenegro, Government of Netherlands, Government of New Zealand, Government of North Macedonia, Government of Norway, Government of Poland, Government of Portugal, Government of Romania, Government of Singapore, Government of Slovakia, Government of Slovenia, Government of South Korea, Government of Spain, Government of Sweden, Government of Tonga, Government of Turkey, Government of Ukraine, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2008-04-06,1,700,3,5699,False
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24,72605.0,5,3,2,1.0,2013-12-31,5.0,5.0,,,1,3,726,2013,Afghanistan,Government of Afghanistan,130,"Government of Albania, Government of Armenia, Government of Australia, Government of Austria, Government of Azerbaijan, Government of Belgium, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Canada, Government of Croatia, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Georgia, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Ireland, Government of Italy, Government of Latvia, Government of Lithuania, Government of Luxembourg, Government of Malaysia, Government of Mongolia, Government of Montenegro, Government of Netherlands, Government of New Zealand, Government of North Macedonia, Government of Norway, Government of Poland, Government of Portugal, Government of Romania, Government of Singapore, Government of Slovakia, Government of Slovenia, Government of South Korea, Government of Spain, Government of Sweden, Government of Tonga, Government of Turkey, Government of Ukraine, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",Hizb-i Islami-yi Afghanistan,299,,2,,1,4,1980-03-31,3,2013-08-26,1,700,3,6430,False
1131,333,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan: Government,1996-05-24,73501.0,1,3,3,1.0,1996-09-26,1.0,4.0,,,0,3,735,1996,Afghanistan,Government of Afghanistan,130,,Taleban,303,,2,,2,3,1995-02-18,1,1995-03-11,1,700,3,125,True
1353,387,Government of Angola - FLEC-R,Angola: Cabinda,2006-08-01,83204.0,4,3,1,1.0,2007-12-31,5.0,5.0,,,1,3,832,2007,Angola,Government of Angola,99,,FLEC-FAC,541,,1,Cabinda,1,3,1989-08-04,1,2007-12-31,5,540,4,517,True
